,3M,98,20710,966,906,LWB,1762,6958,593,60,2,,SF3,113,ATL,1611,3682
,3M,98,20710,934,874,ATL,1611,3682,593,60,1,,SF3,113,LWB,1762,6958
,3M,98,20710,1126,1066,LWB,1762,6958,593,60,4,,SF3,113,ATL,1611,3682
,3M,98,20710,520,460,ATL,1611,3682,593,60,3,,SF3,113,LWB,1762,6958
,3M,98,20710,925,896,MCN,1769,3754,127,29,6,,SF3,113,ATL,1611,3682
,3M,98,20710,804,775,ATL,1611,3682,127,29,5,,SF3,113,MCN,1769,3754
,3M,98,20710,1059,1030,MCN,1769,3754,127,29,8,,SF3,113,ATL,1611,3682
,3M,98,20710,478,449,ATL,1611,3682,127,29,7,,SF3,113,MCN,1769,3754
,3M,98,20710,887,858,MCN,1769,3754,127,29,10,,SF3,113,ATL,1611,3682
,3M,98,20710,505,476,ATL,1611,3682,127,29,9,,SF3,113,MCN,1769,3754
,3M,98,20710,1191,1162,MCN,1769,3754,127,29,12,,SF3,113,ATL,1611,3682
,3M,98,20710,1130,1101,ATL,1611,3682,127,29,11,,SF3,113,MCN,1769,3754
,3M,98,20710,569,540,MCN,1769,3754,127,29,14,,SF3,113,ATL,1611,3682
,3M,98,20710,788,759,ATL,1611,3682,127,29,13,,SF3,113,MCN,1769,3754
,3M,98,20710,984,955,MCN,1769,3754,127,29,16,,SF3,113,ATL,1611,3682
,3M,98,20710,1397,1368,ATL,1611,3682,127,29,15,,SF3,113,MCN,1769,3754
,3M,98,20710,1402,1373,MCN,1769,3754,127,29,18,,SF3,113,ATL,1611,3682
,3M,98,20710,684,655,ATL,1611,3682,127,29,17,,SF3,113,MCN,1769,3754
,3M,98,20710,1234,1185,MEI,1773,4335,428,49,20,,SF3,113,ATL,1611,3682
,3M,98,20710,1288,1239,ATL,1611,3682,428,49,19,,SF3,113,MEI,1773,4335
,3M,98,20710,1435,1386,MEI,1773,4335,428,49,22,,SF3,113,ATL,1611,3682
,3M,98,20710,808,759,ATL,1611,3682,428,49,21,,SF3,113,MEI,1773,4335
,3M,98,20710,688,646,MSL,1788,5756,317,42,24,,SF3,113,ATL,1611,3682
,3M,98,20710,675,633,ATL,1611,3682,317,42,23,,SF3,113,MSL,1788,5756
,3M,98,20710,854,812,MSL,1788,5756,317,42,26,,SF3,113,ATL,1611,3682
,3M,98,20710,944,902,ATL,1611,3682,317,42,25,,SF3,113,MSL,1788,5756
,3M,98,20710,572,517,PIB,1821,5759,519,55,28,,SF3,113,ATL,1611,3682
,3M,98,20710,445,390,ATL,1611,3682,519,55,27,,SF3,113,PIB,1821,5759
,3M,98,20710,1075,1020,PIB,1821,5759,519,55,30,,SF3,113,ATL,1611,3682
,3M,98,20710,857,802,ATL,1611,3682,519,55,29,,SF3,113,PIB,1821,5759
,3M,98,20710,914,859,PIB,1821,5759,519,55,32,,SF3,113,ATL,1611,3682
,3M,98,20710,561,506,ATL,1611,3682,519,55,31,,SF3,113,PIB,1821,5759
,3M,98,20710,1428,1373,PIB,1821,5759,519,55,34,,SF3,113,ATL,1611,3682
,3M,98,20710,645,590,ATL,1611,3682,519,55,33,,SF3,113,PIB,1821,5759
,3M,98,20710,875,827,TUP,1888,5773,406,48,36,,SF3,113,ATL,1611,3682
,3M,98,20710,1420,1372,ATL,1611,3682,406,48,35,,SF3,113,TUP,1888,5773
,3M,98,20710,705,657,TUP,1888,5773,406,48,38,,SF3,113,ATL,1611,3682
,3M,98,20710,1032,984,ATL,1611,3682,406,48,37,,SF3,113,TUP,1888,5773
,3M,98,20710,459,411,TUP,1888,5773,406,48,40,,SF3,113,ATL,1611,3682
,3M,98,20710,1198,1150,ATL,1611,3682,406,48,39,,SF3,113,TUP,1888,5773
,3M,98,20710,1261,1213,TUP,1888,5773,406,48,42,,SF3,113,ATL,1611,3682
,3M,98,20710,1432,1384,ATL,1611,3682,406,48,41,,SF3,113,TUP,1888,5773
,3M,98,20710,1104,1056,TUP,1888,5773,406,48,44,,SF3,113,ATL,1611,3682
,3M,98,20710,1060,1012,ATL,1611,3682,406,48,43,,SF3,113,TUP,1888,5773
,3M,98,20710,1072,1024,TUP,1888,5773,406,48,46,,SF3,113,ATL,1611,3682
,3M,98,20710,1374,1326,ATL,1611,3682,406,48,45,,SF3,113,TUP,1888,5773
,3M,98,20710,603,555,TUP,1888,5773,406,48,48,,SF3,113,ATL,1611,3682
,3M,98,20710,1318,1270,ATL,1611,3682,406,48,47,,SF3,113,TUP,1888,5773
,3M,98,20710,1374,1338,FLL,1691,3533,233,36,50,,SF3,113,EYW,1686,3875
,3M,98,20710,1311,1275,EYW,1686,3875,233,36,49,,SF3,113,FLL,1691,3533
,3M,98,20710,405,369,FLL,1691,3533,233,36,52,,SF3,113,EYW,1686,3875
,3M,98,20710,1212,1176,EYW,1686,3875,233,36,51,,SF3,113,FLL,1691,3533
,3M,98,20710,987,951,FLL,1691,3533,233,36,54,,SF3,113,EYW,1686,3875
,3M,98,20710,618,582,EYW,1686,3875,233,36,53,,SF3,113,FLL,1691,3533
,3M,98,20710,1358,1322,FLL,1691,3533,233,36,56,,SF3,113,EYW,1686,3875
,3M,98,20710,870,834,EYW,1686,3875,233,36,55,,SF3,113,FLL,1691,3533
,3M,98,20710,1143,1107,FLL,1691,3533,233,36,58,,SF3,113,EYW,1686,3875
,3M,98,20710,1440,1404,EYW,1686,3875,233,36,57,,SF3,113,FLL,1691,3533
,3M,98,20710,486,450,FLL,1691,3533,233,36,60,,SF3,113,EYW,1686,3875
,3M,98,20710,427,391,EYW,1686,3875,233,36,59,,SF3,113,FLL,1691,3533
,3M,98,20710,1062,1026,FLL,1691,3533,233,36,62,,SF3,113,EYW,1686,3875
,3M,98,20710,868,832,EYW,1686,3875,233,36,61,,SF3,113,FLL,1691,3533
,3M,98,20710,1333,1298,RSW,1846,3793,220,35,64,,SF3,113,EYW,1686,3875
,3M,98,20710,1096,1061,EYW,1686,3875,220,35,63,,SF3,113,RSW,1846,3793
,3M,98,20710,1383,1348,RSW,1846,3793,220,35,66,,SF3,113,EYW,1686,3875
,3M,98,20710,982,947,EYW,1686,3875,220,35,65,,SF3,113,RSW,1846,3793
,3M,98,20710,1404,1358,TPA,1884,3646,387,46,68,,SF3,113,EYW,1686,3875
,3M,98,20710,1058,1012,EYW,1686,3875,387,46,67,,SF3,113,TPA,1884,3646
,3M,98,20710,720,674,TPA,1884,3646,387,46,70,,SF3,113,EYW,1686,3875
,3M,98,20710,738,692,EYW,1686,3875,387,46,69,,SF3,113,TPA,1884,3646
,3M,98,20710,1346,1310,EYW,1686,3875,233,36,72,,SF3,113,FLL,1691,3533
,3M,98,20710,426,390,FLL,1691,3533,233,36,71,,SF3,113,EYW,1686,3875
,3M,98,20710,1210,1174,EYW,1686,3875,233,36,74,,SF3,113,FLL,1691,3533
,3M,98,20710,929,893,FLL,1691,3533,233,36,73,,SF3,113,EYW,1686,3875
,3M,98,20710,1369,1329,MCO,1770,3878,285,40,76,,SF3,113,FLL,1691,3533
,3M,98,20710,859,819,FLL,1691,3533,285,40,75,,SF3,113,MCO,1770,3878
,3M,98,20710,768,728,MCO,1770,3878,285,40,78,,SF3,113,FLL,1691,3533
,3M,98,20710,1304,1264,FLL,1691,3533,285,40,77,,SF3,113,MCO,1770,3878
,3M,98,20710,478,436,TPA,1884,3646,316,42,80,,SF3,113,FLL,1691,3533
,3M,98,20710,1144,1102,FLL,1691,3533,316,42,79,,SF3,113,TPA,1884,3646
,3M,98,20710,737,695,TPA,1884,3646,316,42,82,,SF3,113,FLL,1691,3533
,3M,98,20710,1101,1059,FLL,1691,3533,316,42,81,,SF3,113,TPA,1884,3646
,3M,98,20710,1430,1388,TPA,1884,3646,316,42,84,,SF3,113,FLL,1691,3533
,3M,98,20710,1089,1047,FLL,1691,3533,316,42,83,,SF3,113,TPA,1884,3646
,3M,98,20710,833,791,TPA,1884,3646,316,42,86,,SF3,113,FLL,1691,3533
,3M,98,20710,420,378,FLL,1691,3533,316,42,85,,SF3,113,TPA,1884,3646
,3M,98,20710,1040,998,TPA,1884,3646,316,42,88,,SF3,113,FLL,1691,3533
,3M,98,20710,842,800,FLL,1691,3533,316,42,87,,SF3,113,TPA,1884,3646
,3M,98,20710,770,728,TPA,1884,3646,316,42,90,,SF3,113,FLL,1691,3533
,3M,98,20710,1358,1316,FLL,1691,3533,316,42,89,,SF3,113,TPA,1884,3646
,3M,98,20710,1086,1051,TUP,1888,5773,222,35,92,,SF3,113,GLH,1705,6130
,3M,98,20710,1289,1254,GLH,1705,6130,222,35,91,,SF3,113,TUP,1888,5773
,3M,98,20710,758,723,TUP,1888,5773,222,35,94,,SF3,113,GLH,1705,6130
,3M,98,20710,667,632,GLH,1705,6130,222,35,93,,SF3,113,TUP,1888,5773
,3M,98,20710,492,460,MCO,1770,3878,168,32,96,,SF3,113,GNV,1706,3472
,3M,98,20710,764,732,GNV,1706,3472,168,32,95,,SF3,113,MCO,1770,3878
,3M,98,20710,754,722,MCO,1770,3878,168,32,98,,SF3,113,GNV,1706,3472
,3M,98,20710,887,855,GNV,1706,3472,168,32,97,,SF3,113,MCO,1770,3878
,3M,98,20710,1288,1255,TPA,1884,3646,192,33,100,,SF3,113,GNV,1706,3472
,3M,98,20710,979,946,GNV,1706,3472,192,33,99,,SF3,113,TPA,1884,3646
,3M,98,20710,573,540,TPA,1884,3646,192,33,102,,SF3,113,GNV,1706,3472
,3M,98,20710,772,739,GNV,1706,3472,192,33,101,,SF3,113,TPA,1884,3646
,3M,98,20710,1014,974,TPA,1884,3646,291,40,104,,SF3,113,JAX,1742,3712
,3M,98,20710,607,567,JAX,1742,3712,291,40,103,,SF3,113,TPA,1884,3646
,3M,98,20710,1116,1076,TPA,1884,3646,291,40,106,,SF3,113,JAX,1742,3712
,3M,98,20710,431,391,JAX,1742,3712,291,40,105,,SF3,113,TPA,1884,3646
,3M,98,20710,949,889,ATL,1611,3682,593,60,108,,SF3,113,LWB,1762,6958
,3M,98,20710,639,579,LWB,1762,6958,593,60,107,,SF3,113,ATL,1611,3682
,3M,98,20710,515,455,ATL,1611,3682,593,60,110,,SF3,113,LWB,1762,6958
,3M,98,20710,1428,1368,LWB,1762,6958,593,60,109,,SF3,113,ATL,1611,3682
,3M,98,20710,1179,1150,ATL,1611,3682,127,29,112,,SF3,113,MCN,1769,3754
,3M,98,20710,876,847,MCN,1769,3754,127,29,111,,SF3,113,ATL,1611,3682
,3M,98,20710,506,477,ATL,1611,3682,127,29,114,,SF3,113,MCN,1769,3754
,3M,98,20710,967,938,MCN,1769,3754,127,29,113,,SF3,113,ATL,1611,3682
,3M,98,20710,796,767,ATL,1611,3682,127,29,116,,SF3,113,MCN,1769,3754
,3M,98,20710,1382,1353,MCN,1769,3754,127,29,115,,SF3,113,ATL,1611,3682
,3M,98,20710,743,714,ATL,1611,3682,127,29,118,,SF3,113,MCN,1769,3754
,3M,98,20710,510,481,MCN,1769,3754,127,29,117,,SF3,113,ATL,1611,3682
,3M,98,20710,1114,1085,ATL,1611,3682,127,29,120,,SF3,113,MCN,1769,3754
,3M,98,20710,1037,1008,MCN,1769,3754,127,29,119,,SF3,113,ATL,1611,3682
,3M,98,20710,668,639,ATL,1611,3682,127,29,122,,SF3,113,MCN,1769,3754
,3M,98,20710,1112,1083,MCN,1769,3754,127,29,121,,SF3,113,ATL,1611,3682
,3M,98,20710,996,967,ATL,1611,3682,127,29,124,,SF3,113,MCN,1769,3754
