1465,Postville,Canada,YSO,CCD4,54.9105,-59.78507,7252,Postville Airport,,"{""1586"": [686475, 686477, 686479, 686634, 686636, 686638, 686640], ""1499"": [686446, 686448, 686471, 686473, 698610, 698612, 698614, 698616, 698618, 698655, 698657, 698659, 698661, 698663, 698665, 698667, 698669], ""1509"": [698582, 698584, 698639, 698641, 698643, 698645, 698647, 698649, 698651, 698653]}"
1466,Rigolet,Canada,YRG,CCZ2,54.1796989440918,-58.4575004577637,5461,Rigolet Airport,,"{""1586"": [698635, 698637, 698676, 698678], ""1499"": [698606, 698608, 698627, 698629, 698631, 698633]}"
1467,Whatì,Canada,YLE,CEM3,63.1316986083984,-117.246002197266,5463,Whatì Airport,,"{""1590"": [661995, 661997, 662018, 662020]}"
1468,Wekweeti,Canada,YFJ,CFJ2,64.190804,-114.077002,7277,Wekweètì Airport,,"{""1590"": [661983, 661985, 661987, 661989, 662010, 662012]}"
1469,Arctic Bay,Canada,YAB,CJX7,73.0058922479,-85.0325489044,8225,Old Arctic Bay Airport,,"{""1544"": [660841, 660843, 661128, 661130, 661132, 661134, 661136, 661138], ""1495"": [660835, 660837, 660839, 660984, 660986, 660988, 660990, 660992]}"
1470,Chisasibi,Canada,YKU,CSU2,53.8055992126465,-78.9169006347656,5472,Chisasibi Airport,,"{""1501"": [708750, 708752, 708754, 708803, 708805], ""1526"": [708815, 708817, 708819, 708821, 708823, 708825, 708827, 708829, 708860, 708862, 708864], ""1519"": [708756, 708758, 708760, 708762, 708764, 708807, 708809, 708811, 708813]}"
1471,Tête-à-la-Baleine,Canada,ZTB,CTB6,50.6744003295898,-59.3835983276367,5473,Tête-à-la-Baleine Airport,,"{""1473"": [698700, 698702, 698707, 698709, 698711, 698713, 698715], ""1510"": [698586, 698588, 698703, 698705]}"
1472,Kegaska,Canada,ZKG,CTK6,50.1958007812,-61.2658004761,8217,Kegaska Airport,,"{""1525"": [698620, 698622, 698624, 698626, 698679, 698681, 698683, 698685, 698687, 698689, 698691]}"
1473,La Tabatière,Canada,ZLT,CTU5,50.8307991027832,-58.9756011962891,5474,La Tabatière Airport,,"{""1513"": [698590, 698592, 698594, 698596, 698598, 698600, 698602, 698604, 698693, 698695, 698697], ""1471"": [698699, 698701, 698708, 698710, 698712, 698714, 698716]}"
1474,Fort Frances,Canada,YAG,CYAG,48.6542015075684,-93.439697265625,5479,Fort Frances Municipal Airport,,"{""1536"": [683969, 683971, 684032, 684034], ""1570"": [684198, 684200, 684202, 684204], ""1540"": [683973, 683975, 683977, 683979, 684056, 684058, 684060, 684062]}"
